cgpa,backlogs,college_tier,country,university_ranking_band,internship_count,aptitude_score,communication_score,specialization,industry,internship_quality_score,placement_status
7.397371322,1,Tier 2,Canada,100-300,2,53.57415003,64.17706233,Data Science,Consulting,5.481449846,Placed
6.889388559,0,Tier 3,UK,300+,1,60.68775004,88.34605151,Data Science,Consulting,4.625099377,Placed
7.51815083,0,Tier 1,UK,100-300,2,64.56874987,69.49317116,Cybersecurity,Healthcare,5.227938628,Placed
8.218423885,0,Tier 2,UK,100-300,3,73.46150014,78.20485412,AI/ML,Tech,5.150673765,Placed
6.8126773,1,Tier 2,USA,100-300,4,86.51812058,44.68088106,Data Science,Consulting,3.888824314,Placed
6.812690434,0,Tier 1,Germany,300+,1,72.87642974,72.10249465,Core CS,Consulting,2.917126941,Not Placed
8.263370252,1,Tier 3,India,300+,2,61.93859439,71.83706818,Core CS,Manufacturing,3.366859764,Placed
7.613947783,2,Tier 3,Canada,300+,1,50.04774636,68.58717209,AI/ML,Consulting,4.15342996,Not Placed
6.624420491,0,Tier 2,India,100-300,3,70.13397901,78.08772722,Cloud,Consulting,5.026075477,Placed
7.434048035,3,Tier 3,Germany,Top 100,2,89.74482741,57.89262373,Data Science,Other,3.137159368,Not Placed
6.629265846,1,Tier 2,USA,Top 100,2,64.24278661,73.08297386,Cloud,Healthcare,4.778924892,Placed
6.627416197,2,Tier 3,USA,100-300,2,70.68900699,63.4059345,Data Science,Other,3.76161195,Not Placed
7.193569817,3,Tier 1,Germany,Top 100,3,86.67641936,85.70536581,Cloud,Manufacturing,2.551042299,Not Placed
5.469375804,3,Tier 1,Canada,100-300,3,46.17763264,57.28492924,Data Science,Manufacturing,3.577345841,Not Placed
5.620065734,2,Tier 1,Germany,Top 100,3,68.46405012,74.07249779,AI/ML,Other,4.941099543,Not Placed
6.550169977,2,Tier 2,USA,100-300,0,77.86078068,78.29873123,Cybersecurity,Consulting,3.918667453,Not Placed
6.189735104,1,Tier 1,USA,100-300,0,65.14670895,48.96862443,Data Science,Tech,6.973043921,Placed
7.251397866,2,Tier 1,India,100-300,1,71.73040648,59.52219543,Core CS,Other,6.01086753,Placed
6.27358074,0,Tier 3,Canada,300+,2,75.15539133,56.19491685,Data Science,Finance,6.363812564,Not Placed
5.870157039,1,Tier 3,Canada,100-300,2,76.01966061,84.96776026,Core CS,Tech,9.320751544,Placed
8.172519015,1,Tier 2,USA,300+,2,93.118756,46.48934922,Data Science,Tech,4.493543239,Placed
6.81937896,0,Tier 3,Germany,Top 100,0,66.8122611,57.57184357,AI/ML,Tech,2.795812341,Placed
7.054022564,0,Tier 3,USA,100-300,0,75.21018503,56.99365092,Data Science,Consulting,3.838872315,Not Placed
5.860201451,3,Tier 2,India,300+,1,69.97659494,45.81340419,Cybersecurity,Manufacturing,4.757648347,Not Placed
6.56449382,1,Tier 2,Germany,100-300,2,97.62886532,73.53209988,Cloud,Healthcare,5.457736568,Placed
7.088738072,6,Tier 3,USA,300+,1,73.48799907,46.68341832,Core CS,Manufacturing,5.304661953,Not Placed
6.079205138,1,Tier 2,Canada,Top 100,1,78.85742416,71.63205949,Cloud,Consulting,4.052812414,Not Placed
7.300558415,1,Tier 1,India,100-300,1,79.11865762,78.05316174,Core CS,Manufacturing,5.710089959,Placed
6.519489048,0,Tier 2,USA,Top 100,2,60.51390149,49.51317165,Cybersecurity,Consulting,6.56862328,Placed
6.766645,0,Tier 2,USA,100-300,3,76.1813138,47.2791453,AI/ML,Tech,3.800984718,Placed
6.51863471,1,Tier 3,UK,300+,2,85.83847679,87.49725503,AI/ML,Finance,3.460430331,Placed
8.481822548,2,Tier 2,Germany,100-300,0,35.43104406,87.09705984,Core CS,Manufacturing,8.39088396,Not Placed
6.98920222,1,Tier 3,UK,Top 100,2,58.27827893,53.91168634,Data Science,Finance,3.308396629,Placed
6.153831257,0,Tier 3,Canada,100-300,2,93.4577415,50.50551445,Cybersecurity,Other,6.01655359,Placed
7.65803593,1,Tier 2,Germany,300+,5,39.09104263,55.62814473,Cybersecurity,Finance,4.902389877,Placed
6.02332508,0,Tier 3,India,100-300,3,93.17753071,70.44522805,Cybersecurity,Finance,6.93588007,Placed
7.167090876,1,Tier 1,Germany,Top 100,5,63.55912961,53.29993643,Cloud,Consulting,4.615931549,Not Placed
5.432263901,2,Tier 2,USA,Top 100,2,73.26853081,53.78322773,Cloud,Healthcare,5.125931531,Not Placed
5.937451161,1,Tier 3,USA,100-300,2,81.92727957,75.28487415,Cybersecurity,Manufacturing,2.711137946,Not Placed
7.157488989,0,Tier 2,USA,100-300,2,77.54325721,50.56900886,Cybersecurity,Tech,4.030063931,Placed
7.590773264,0,Tier 3,Germany,300+,0,70.32292271,70.37443236,Cloud,Finance,5.546664192,Not Placed
7.137094625,2,Tier 1,USA,300+,2,65.44565645,60.41721453,Core CS,Consulting,4.041592784,Placed
6.907481374,1,Tier 3,USA,300+,0,63.62978904,77.43475991,Cloud,Healthcare,3.043357382,Not Placed
6.759117044,1,Tier 1,UK,100-300,1,46.47307758,100,Data Science,Healthcare,8.11427458,Placed
5.817182408,2,Tier 2,USA,Top 100,0,82.34167642,44.44187482,Cybersecurity,Finance,4.614878164,Not Placed
6.424124633,2,Tier 2,UK,100-300,0,81.00650818,56.32508509,Core CS,Consulting,6.546186578,Not Placed
6.631488983,2,Tier 2,Canada,100-300,1,57.83303254,58.89136305,Core CS,Manufacturing,7.749656313,Placed
7.845697781,1,Tier 1,Germany,300+,2,67.06943442,58.15975279,Cloud,Healthcare,4.469635203,Placed
7.274894632,1,Tier 2,UK,Top 100,0,47.39750245,67.51621767,Core CS,Other,4.954492459,Placed
5.589567876,2,Tier 2,Germany,100-300,0,81.20316969,74.0969824,AI/ML,Healthcare,4.692233261,Not Placed
7.259267176,1,Tier 2,Germany,300+,1,64.78762377,58.15603632,Cloud,Finance,5.784706554,Not Placed
6.691934176,3,Tier 2,India,100-300,0,59.19600808,64.79050016,Cloud,Consulting,6.583104175,Not Placed
6.4584624,1,Tier 2,UK,100-300,4,82.5990071,59.69499221,Cloud,Consulting,6.301608831,Placed
7.489341031,0,Tier 3,USA,100-300,0,72.47843035,46.15722994,Data Science,Consulting,6.226184152,Placed
7.824799618,2,Tier 3,India,100-300,1,80.2715524,48.38402224,AI/ML,Consulting,4.76544689,Not Placed
7.745024095,2,Tier 2,UK,100-300,1,58.92857079,71.71586814,Core CS,Other,5.211475298,Not Placed
6.328625981,0,Tier 2,UK,Top 100,4,45.53416149,92.79945361,Cybersecurity,Finance,2.918682969,Placed
6.752630099,0,Tier 2,Canada,Top 100,2,58.99524513,63.31545255,AI/ML,Finance,5.994621691,Placed
7.265010745,3,Tier 1,USA,Top 100,0,67.5813898,58.29368156,Cloud,Healthcare,8.546200458,Placed
7.780436102,2,Tier 2,Canada,100-300,1,70.7609387,55.59372741,Cybersecurity,Healthcare,5.627494251,Not Placed
6.61666061,1,Tier 1,Germany,300+,1,59.20115827,93.89859457,Cloud,Manufacturing,6.980493303,Not Placed
